NOM_PRODUIT,NOM_VARIETE,DESCRIPTION,STOCK_INITIAL_KG
Choux,Chou vert,Le plus répandu souvent utilisé dans les salades,50
Choux,Chou rouge,Se distingue par sa couleur vive et est riche en antioxydants,30
Choux,Chou-fleur,Connu pour ses bouquets blancs très populaire,45
Choux,Brocoli,Riche en vitamines inflorescences non épanouies,20
Choux,Chou de Bruxelles,Bourgeons souvent rôtis ou cuits,15
Choux,Chou romanesco,Spirale avec une texture croquante,10
Choux,Chou chinois (pak-choï),Feuilles tendres cuisine asiatique,25
Oignon,Oignon Jaune,Variété classique pour cuisson,100
Oignon,Oignon Rouge,Idéal pour les salades crues,80
Carotte,Carotte Nantaise,Racine sucrée et cylindrique,120
Carotte,Carotte de Colmar,Grosse racine de conservation,90
Aubergine,Aubergine Violette,Classique longue et brillante,60
Piment,Piment Bec d'Oiseau,Très piquant petit format,10
Piment,Piment Doux,Saveur fruitée peu de piquant,15
